"ZIP
code [1]",Size of adjusted gross income,Number of returns
10507,"$200,000 or more",360
,,
10509,,"9,960"
10509,"$1 under $25,000",2920
10509,"$25,000 under $50,000",1770
10509,"$50,000 under $75,000",1290
10509,"$75,000 under $100,000",1020
10509,"$100,000 under $200,000",2090
10509,"$200,000 or more",870
,,
10510,,"4,760"
10510,"$1 under $25,000",1030
10510,"$25,000 under $50,000",490
10510,"$50,000 under $75,000",380
10510,"$75,000 under $100,000",310
10510,"$100,000 under $200,000",990
10510,"$200,000 or more",1560
,,
10511,,"1,160"
10511,"$1 under $25,000",330
10511,"$25,000 under $50,000",210
10511,"$50,000 under $75,000",160
10511,"$75,000 under $100,000",130
10511,"$100,000 under $200,000",250
10511,"$200,000 or more",80
,,
10512,,"12,510"
10512,"$1 under $25,000",3350
10512,"$25,000 under $50,000",2230
10512,"$50,000 under $75,000",1800
10512,"$75,000 under $100,000",1410
10512,"$100,000 under $200,000",2830
10512,"$200,000 or more",890
,,
10514,,"5,360"
10514,"$1 under $25,000",1190
10514,"$25,000 under $50,000",390
10514,"$50,000 under $75,000",310
10514,"$75,000 under $100,000",240
10514,"$100,000 under $200,000",790
10514,"$200,000 or more",2440
,,
10516,,"2,740"
10516,"$1 under $25,000",690
10516,"$25,000 under $50,000",430
10516,"$50,000 under $75,000",340
10516,"$75,000 under $100,000",290
10516,"$100,000 under $200,000",650
10516,"$200,000 or more",340
,,
10518,,740
10518,"$1 under $25,000",200
10518,"$25,000 under $50,000",90
10518,"$50,000 under $75,000",60
10518,"$75,000 under $100,000",50
10518,"$100,000 under $200,000",160
10518,"$200,000 or more",180
,,
10520,,"6,450"
10520,"$1 under $25,000",1550
10520,"$25,000 under $50,000",890
10520,"$50,000 under $75,000",790
10520,"$75,000 under $100,000",640
10520,"$100,000 under $200,000",1410
10520,"$200,000 or more",1170
,,
10522,,"5,240"
10522,"$1 under $25,000",1150
10522,"$25,000 under $50,000",740
10522,"$50,000 under $75,000",710
10522,"$75,000 under $100,000",530
10522,"$100,000 under $200,000",1090
10522,"$200,000 or more",1020
,,
10523,,"4,840"
10523,"$1 under $25,000",1470
10523,"$25,000 under $50,000",1030
10523,"$50,000 under $75,000",740
10523,"$75,000 under $100,000",510
10523,"$100,000 under $200,000",840
10523,"$200,000 or more",250
,,
10524,,"2,140"
10524,"$1 under $25,000",530
10524,"$25,000 under $50,000",300
10524,"$50,000 under $75,000",260
10524,"$75,000 under $100,000",210
10524,"$100,000 under $200,000",510
10524,"$200,000 or more",330
,,
10526,,990
10526,"$1 under $25,000",240
10526,"$25,000 under $50,000",130
10526,"$50,000 under $75,000",110
10526,"$75,000 under $100,000",80
10526,"$100,000 under $200,000",220
10526,"$200,000 or more",210
,,
10527,,440
10527,"$1 under $25,000",90
10527,"$25,000 under $50,000",50
10527,"$50,000 under $75,000",40
10527,"$75,000 under $100,000",30
10527,"$100,000 under $200,000",120
10527,"$200,000 or more",110
,,
10528,,"5,900"
10528,"$1 under $25,000",1540
10528,"$25,000 under $50,000",910
10528,"$50,000 under $75,000",760
10528,"$75,000 under $100,000",540
10528,"$100,000 under $200,000",990
10528,"$200,000 or more",1160
,,
10530,,"7,240"
10530,"$1 under $25,000",1430
10530,"$25,000 under $50,000",970
10530,"$50,000 under $75,000",1070
10530,"$75,000 under $100,000",880
10530,"$100,000 under $200,000",1850
10530,"$200,000 or more",1040
,,
10532,,"2,600"
10532,"$1 under $25,000",590
10532,"$25,000 under $50,000",400
10532,"$50,000 under $75,000",350
10532,"$75,000 under $100,000",240
10532,"$100,000 under $200,000",700
10532,"$200,000 or more",320
,,
10533,,"3,750"
10533,"$1 under $25,000",790
10533,"$25,000 under $50,000",400
10533,"$50,000 under $75,000",380
