"ZIP
code [1]",Size of adjusted gross income,Number of returns
10533,"$50,000 under $75,000",420
10533,"$75,000 under $100,000",340
10533,"$100,000 under $200,000",750
10533,"$200,000 or more",910
,,
10535,,370
10535,"$1 under $25,000",130
10535,"$25,000 under $50,000",80
10535,"$50,000 under $75,000",50
10535,"$75,000 under $100,000",40
10535,"$100,000 under $200,000",70
10535,"$200,000 or more",**
,,
10536,,"5,330"
10536,"$1 under $25,000",1500
10536,"$25,000 under $50,000",650
10536,"$50,000 under $75,000",440
10536,"$75,000 under $100,000",350
10536,"$100,000 under $200,000",1060
10536,"$200,000 or more",1330
,,
10537,,"1,180"
10537,"$1 under $25,000",380
10537,"$25,000 under $50,000",250
10537,"$50,000 under $75,000",180
10537,"$75,000 under $100,000",140
10537,"$100,000 under $200,000",200
10537,"$200,000 or more",30
,,
10538,,"8,040"
10538,"$1 under $25,000",1880
10538,"$25,000 under $50,000",810
10538,"$50,000 under $75,000",760
10538,"$75,000 under $100,000",550
10538,"$100,000 under $200,000",1340
10538,"$200,000 or more",2700
,,
10541,,"12,180"
10541,"$1 under $25,000",3630
10541,"$25,000 under $50,000",2000
10541,"$50,000 under $75,000",1530
10541,"$75,000 under $100,000",1350
10541,"$100,000 under $200,000",2850
10541,"$200,000 or more",820
,,
10543,,"9,560"
10543,"$1 under $25,000",2930
10543,"$25,000 under $50,000",1640
10543,"$50,000 under $75,000",1200
10543,"$75,000 under $100,000",830
10543,"$100,000 under $200,000",1640
10543,"$200,000 or more",1320
,,
10546,,730
10546,"$1 under $25,000",170
10546,"$25,000 under $50,000",90
10546,"$50,000 under $75,000",80
10546,"$75,000 under $100,000",60
10546,"$100,000 under $200,000",150
10546,"$200,000 or more",180
,,
10547,,"3,560"
10547,"$1 under $25,000",1080
10547,"$25,000 under $50,000",650
10547,"$50,000 under $75,000",510
10547,"$75,000 under $100,000",340
10547,"$100,000 under $200,000",760
10547,"$200,000 or more",220
,,
10548,,"1,590"
10548,"$1 under $25,000",470
10548,"$25,000 under $50,000",260
10548,"$50,000 under $75,000",240
10548,"$75,000 under $100,000",180
10548,"$100,000 under $200,000",350
10548,"$200,000 or more",90
,,
10549,,"8,140"
10549,"$1 under $25,000",2800
10549,"$25,000 under $50,000",1400
10549,"$50,000 under $75,000",830
10549,"$75,000 under $100,000",620
10549,"$100,000 under $200,000",1170
10549,"$200,000 or more",1320
,,
10550,,"17,780"
10550,"$1 under $25,000",8550
10550,"$25,000 under $50,000",5180
10550,"$50,000 under $75,000",2230
10550,"$75,000 under $100,000",1000
10550,"$100,000 under $200,000",770
10550,"$200,000 or more",50
,,
10552,,"10,580"
10552,"$1 under $25,000",3090
10552,"$25,000 under $50,000",2430
10552,"$50,000 under $75,000",1800
10552,"$75,000 under $100,000",1150
10552,"$100,000 under $200,000",1560
10552,"$200,000 or more",550
,,
10553,,"5,480"
10553,"$1 under $25,000",2130
10553,"$25,000 under $50,000",1490
10553,"$50,000 under $75,000",820
10553,"$75,000 under $100,000",470
10553,"$100,000 under $200,000",490
10553,"$200,000 or more",80
,,
10560,,"2,130"
10560,"$1 under $25,000",560
10560,"$25,000 under $50,000",290
10560,"$50,000 under $75,000",230
10560,"$75,000 under $100,000",190
10560,"$100,000 under $200,000",440
10560,"$200,000 or more",420
,,
10562,,"15,410"
10562,"$1 under $25,000",5460
10562,"$25,000 under $50,000",3070
10562,"$50,000 under $75,000",2040
10562,"$75,000 under $100,000",1420
10562,"$100,000 under $200,000",2400
10562,"$200,000 or more",1020
,,
10566,,"11,970"
10566,"$1 under $25,000",4750
10566,"$25,000 under $50,000",2800
10566,"$50,000 under $75,000",1650
10566,"$75,000 under $100,000",1050
10566,"$100,000 under $200,000",1470
10566,"$200,000 or more",250
,,
10567,,"9,310"
10567,"$1 under $25,000",2590
10567,"$25,000 under $50,000",1370
10567,"$50,000 under $75,000",1050
