"ZIP
code",Size of adjusted gross income,Number of returns
10468,"$200,000 or more",28
,,
10469,,"30,456"
10469,"$1 under $25,000",13183
10469,"$25,000 under $50,000",8512
10469,"$50,000 under $75,000",4300
10469,"$75,000 under $100,000",2231
10469,"$100,000 under $200,000",2038
10469,"$200,000 or more",192
,,
10470,,"7,219"
10470,"$1 under $25,000",2813
10470,"$25,000 under $50,000",1999
10470,"$50,000 under $75,000",1088
10470,"$75,000 under $100,000",622
10470,"$100,000 under $200,000",633
10470,"$200,000 or more",64
,,
10471,,"9,936"
10471,"$1 under $25,000",2580
10471,"$25,000 under $50,000",1950
10471,"$50,000 under $75,000",1610
10471,"$75,000 under $100,000",1262
10471,"$100,000 under $200,000",1717
10471,"$200,000 or more",817
,,
10472,,"26,723"
10472,"$1 under $25,000",15789
10472,"$25,000 under $50,000",7360
10472,"$50,000 under $75,000",2283
10472,"$75,000 under $100,000",803
10472,"$100,000 under $200,000",467
10472,"$200,000 or more",21
,,
10473,,"27,764"
10473,"$1 under $25,000",12980
10473,"$25,000 under $50,000",8418
10473,"$50,000 under $75,000",3614
10473,"$75,000 under $100,000",1555
10473,"$100,000 under $200,000",1143
10473,"$200,000 or more",54
,,
10474,,"4,648"
10474,"$1 under $25,000",2864
10474,"$25,000 under $50,000",1342
10474,"$50,000 under $75,000",316
10474,"$75,000 under $100,000",84
10474,"$100,000 under $200,000",42
10474,"$200,000 or more",**
,,
10475,,"21,265"
10475,"$1 under $25,000",7078
10475,"$25,000 under $50,000",6543
10475,"$50,000 under $75,000",4374
10475,"$75,000 under $100,000",2060
10475,"$100,000 under $200,000",1170
10475,"$200,000 or more",40
,,
10501,,656
10501,"$1 under $25,000",175
10501,"$25,000 under $50,000",94
10501,"$50,000 under $75,000",74
10501,"$75,000 under $100,000",49
10501,"$100,000 under $200,000",155
10501,"$200,000 or more",109
,,
10502,,"2,888"
10502,"$1 under $25,000",749
10502,"$25,000 under $50,000",427
10502,"$50,000 under $75,000",272
10502,"$75,000 under $100,000",260
10502,"$100,000 under $200,000",624
10502,"$200,000 or more",556
,,
10504,,"5,776"
10504,"$1 under $25,000",1344
10504,"$25,000 under $50,000",459
10504,"$50,000 under $75,000",362
10504,"$75,000 under $100,000",318
10504,"$100,000 under $200,000",991
10504,"$200,000 or more",2302
,,
10505,,544
10505,"$1 under $25,000",173
10505,"$25,000 under $50,000",74
10505,"$50,000 under $75,000",50
10505,"$75,000 under $100,000",36
10505,"$100,000 under $200,000",112
10505,"$200,000 or more",99
,,
10506,,"2,741"
10506,"$1 under $25,000",720
10506,"$25,000 under $50,000",278
10506,"$50,000 under $75,000",216
10506,"$75,000 under $100,000",163
10506,"$100,000 under $200,000",445
10506,"$200,000 or more",919
,,
10507,,"2,578"
10507,"$1 under $25,000",832
10507,"$25,000 under $50,000",519
10507,"$50,000 under $75,000",347
10507,"$75,000 under $100,000",219
10507,"$100,000 under $200,000",375
10507,"$200,000 or more",286
,,
10509,,"9,517"
10509,"$1 under $25,000",3079
10509,"$25,000 under $50,000",1605
10509,"$50,000 under $75,000",1235
10509,"$75,000 under $100,000",1044
10509,"$100,000 under $200,000",1882
10509,"$200,000 or more",672
,,
10510,,"4,808"
10510,"$1 under $25,000",1173
10510,"$25,000 under $50,000",542
10510,"$50,000 under $75,000",396
10510,"$75,000 under $100,000",352
10510,"$100,000 under $200,000",972
10510,"$200,000 or more",1373
,,
10511,,"1,097"
10511,"$1 under $25,000",336
10511,"$25,000 under $50,000",209
10511,"$50,000 under $75,000",174
10511,"$75,000 under $100,000",113
10511,"$100,000 under $200,000",216
10511,"$200,000 or more",49
,,
10512,,"12,164"
10512,"$1 under $25,000",3576
10512,"$25,000 under $50,000",2112
10512,"$50,000 under $75,000",1840
10512,"$75,000 under $100,000",1402
10512,"$100,000 under $200,000",2568
10512,"$200,000 or more",666
,,
10514,,"5,393"
10514,"$1 under $25,000",1354
10514,"$25,000 under $50,000",397
10514,"$50,000 under $75,000",331
10514,"$75,000 under $100,000",256
10514,"$100,000 under $200,000",891
10514,"$200,000 or more",2164
,,
10516,,"2,677"
10516,"$1 under $25,000",777
10516,"$25,000 under $50,000",412
10516,"$50,000 under $75,000",359
10516,"$75,000 under $100,000",320
10516,"$100,000 under $200,000",544
10516,"$200,000 or more",265
,,
10518,,697
10518,"$1 under $25,000",183
10518,"$25,000 under $50,000",81
10518,"$50,000 under $75,000",72
10518,"$75,000 under $100,000",65
10518,"$100,000 under $200,000",144
10518,"$200,000 or more",152
,,
10520,,"6,104"
10520,"$1 under $25,000",1550
10520,"$25,000 under $50,000",986
10520,"$50,000 under $75,000",771
10520,"$75,000 under $100,000",616
10520,"$100,000 under $200,000",1291
10520,"$200,000 or more",890
,,
10522,,"5,149"
10522,"$1 under $25,000",1391
10522,"$25,000 under $50,000",863
10522,"$50,000 under $75,000",661
10522,"$75,000 under $100,000",518
10522,"$100,000 under $200,000",989
10522,"$200,000 or more",727
,,
10523,,"4,499"
